Alert ID,SMARTS,ARTICLEID,PROPERTY,NAME,DESCRIPTION,PAGE,TABLE,LINE,COMMENT,SMARTS_DESCRIPTION,PUBMEDID,Publication
TA1334,"[#4,#12,#20,#38,#56,#88]",A27542,Extended Functional Groups (EFG),Alkaline earth metals,,-,-,-,,,26703557,"2015 Salmina, ES"
TA1335,"[#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#72,#73,#74,#75,#76,#77,#78,#79,#80,#104,#105,#106,#107,#108,#109,#110,#111,#112]",A27542,Extended Functional Groups (EFG),Transition metals,,-,-,-,,,26703557,"2015 Salmina, ES"
TA1336,"[#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71]",A27542,Extended Functional Groups (EFG),Lanthanoids,,-,-,-,,,26703557,"2015 Salmina, ES"
TA1337,"[#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100,#101,#102,#103]",A27542,Extended Functional Groups (EFG),Actinoids,,-,-,-,,,26703557,"2015 Salmina, ES"
TA1338,"[#13,#31,#49,#50,#81,#82,#83,#113,#114,#115,#116]",A27542,Extended Functional Groups (EFG),Post-transition metals,,-,-,-,,,26703557,"2015 Salmina, ES"
TA1339,"[#5,#14,#32,#33,#51,#52,#84]",A27542,Extended Functional Groups (EFG),Metalloids,,-,-,-,,,26703557,"2015 Salmina, ES"
TA1340,"[#1,#6,#7,#8,#15,#16,#34,#9,#17,#35,#53,#85,#117,#2,#10,#18,#36,#54,#86,#118]",A27542,Extended Functional Groups (EFG),Nonmetals,,-,-,-,,,26703557,"2015 Salmina, ES"
TA1341,"[#9,#17,#35,#53,#85,#117]",A27542,Extended Functional Groups (EFG),Halogens,,-,-,-,,,26703557,"2015 Salmina, ES"
TA1342,"[#2,#10,#18,#36,#54,#86,#118]",A27542,Extended Functional Groups (EFG),Noble gases,,-,-,-,,,26703557,"2015 Salmina, ES"
TA1343,"[#8,#16,#34,#52,#84,#116]",A27542,Extended Functional Groups (EFG),Chalcogens (oxygen group),,-,-,-,,,26703557,"2015 Salmina, ES"
TA1344,"[#7,#15,#33,#51,#83]",A27542,Extended Functional Groups (EFG),Pnictogens (nitrogen group),,-,-,-,,,26703557,"2015 Salmina, ES"
TA1345,"[#6,#14,#32,#50,#8,#114]",A27542,Extended Functional Groups (EFG),Tetragens (carbon group),,-,-,-,,,26703557,"2015 Salmina, ES"
TA1346,"[CX3]([#1,#6])([#1,#6])=[CX3]([SX2][#6&!$([CX3]([OX2])=[OX1,SX1,NX2,C])])[#1,#6]",A27542,Extended Functional Groups (EFG),Thioenolethers,"R1, R2, R3 = H, acyl, alkyl, aryl; R4 = alkyl, aryl",-,-,-,,,26703557,"2015 Salmina, ES"
TA1347,"[CX3]([#1,#6])([#1,#6])=[CX3]([SH1])[#1,#6]",A27542,Extended Functional Groups (EFG),Thioenols,"R1, R2, R3 = H, acyl, alkyl, aryl",-,-,-,,,26703557,"2015 Salmina, ES"
TA1348,"[CX3]([#1,#6])([SH1])=[CX3]([#1,#6])([SH1])",A27542,Extended Functional Groups (EFG),Enethiodiols,"R1, R2 = H, alkyl, aryl",-,-,-,,,26703557,"2015 Salmina, ES"
TA1349,[CX2]#[CX2][OH1],A27542,Extended Functional Groups (EFG),Alkynyl alcohols,R = any atom/ group,-,-,-,,,26703557,"2015 Salmina, ES"
TA1350,[CX2]#[CX2][SH1],A27542,Extended Functional Groups (EFG),Alkynyl thiols,R = any atom/ group,-,-,-,,,26703557,"2015 Salmina, ES"
TA1351,"[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]",A27542,Extended Functional Groups (EFG),Quinones,,-,-,-,,,26703557,"2015 Salmina, ES"
TA1352,"[$([#6X3]1=,:[#6X3]-,:[#6X3](=[SX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1,SX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]",A27542,Extended Functional Groups (EFG),Thioquinones,,-,-,-,,,26703557,"2015 Salmina, ES"
TA2400,[!#6!#1;R1]1~[*R1]~[*R1]~1,A27542,Extended Functional Groups (EFG),Three-membered heterocycles,A = any atom except carbon; A1 = any atom; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2401,[!#6!#1;R1]1~[#6&R1]~[#6&R1]~1,A27542,Extended Functional Groups (EFG),Three-membered heterocycles with one heteroatom,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2402,[!#6!#1;R1]1-[#6&R1]-[#6&R1]-1,A27542,Extended Functional Groups (EFG),Saturated three-membered heterocycles with one heteroatom,A = any atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2403,[#7R1]1-[#6R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Aziridines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2404,[#8R1]1-[#6R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Oxiranes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2405,[#16X2R1]1-[#6R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Thiiranes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2406,"[$([!#1!#6;R1]1~[#6R1]=[#6R1]~1),$([!#1!#6;R1]1=[#6R1]~[#6R1]~1)]",A27542,Extended Functional Groups (EFG),Unsaturated three-membered heterocycles with one heteroatom,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2407,"[$([#7R1]1-[#6R1]=[#6R1]-1),$([#7R1]1=[#6R1]-[#6R1]-1)]",A27542,Extended Functional Groups (EFG),Azirines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2408,[#7R1]1-[#6R1]=[#6R1]-1,A27542,Extended Functional Groups (EFG),1H-Azirines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2409,[#7R1]1=[#6R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),2H-Azirines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2410,[#8R1]1-[#6R1]=[#6R1]-1,A27542,Extended Functional Groups (EFG),Oxirenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2411,[#16X2R1]1-[#6R1]=[#6R1]-1,A27542,Extended Functional Groups (EFG),Thiirenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2412,[!#6!#1;R1]1~[!#6!#1;R1]~[#6R1]~1,A27542,Extended Functional Groups (EFG),Three-membered heterocycles with two heteroatoms,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
